,PC1,PC2
Nilai Semester 1 - Aljabar Linier,0.5636632044025407,-0.5064056982188866
Nilai Semester 1 - Statistika Dasar,0.1850066024348806,0.27196450266939787
Nilai Semester 1 - Pemrograman 1,0.5386140684205506,-0.4387642980051895
Nilai Semester 1 - Logika dan Algoritma,0.47976552042452575,-0.0388194543798341
Nilai Semester 1 - Basis Data,0.4870381913678135,-0.034118130524863115
Nilai Semester 1 - Matematika 1,0.6477545819691001,-0.12928165131318364
Nilai Semester 1 - Agama,0.28200187959553813,0.3785198185269877
Nilai Semester 1 - Praktikum Statistika Dasar,0.42284587355583664,-0.42945521587602925
Nilai Semester 1 - Praktikum Pemrograman 1,0.5177897739394669,-0.4422466752242526
Nilai Semester 1 - Praktikum Basis Data,0.4791503274423091,-0.14872169554504977
Nilai Semester 2 - Pemodelan Statistik Terapan,0.3460244480648523,-0.23559038216290337
Nilai Semester 2 - Pemrograman 2,0.6692368624082219,-0.5344545356978024
Nilai Semester 2 - Kecerdasan Buatan,0.5477253637878119,0.10797231257142953
Nilai Semester 2 - Pemrosesan Data,0.3578707988877999,-0.09239825054679056
Nilai Semester 2 - Manajemen Data,0.5038387180905144,0.3181933171363378
Nilai Semester 2 - Matematika 2,0.7367908751939362,0.4303357449423753
Nilai Semester 2 - Kewarganegaraan,-2.2661429278717163e-17,3.8842495094873423e-17
Nilai Semester 2 - Praktikum Pemodelan Statistik Terapan,0.6798621792244638,0.017581375037024723
Nilai Semester 2 - Praktikum Pemrograman 2,0.5314042927299217,-0.42516232326827785
Nilai Semester 2 - Praktikum Kecerdasan Buatan,0.46476637230767204,0.38480703916146186
Nilai Semester 2 - Praktikum Pemrosesan Data,0.4662838707769599,-0.22848723936703078
Nilai Semester 2 - Praktikum Manajemen Data,0.15606237394807207,-0.023330896532613134
Nilai Semester 3 - Matematika 3,0.4455596007769563,-0.023616435265903263
Nilai Semester 3 - Analisa Statistika Terapan,0.8481753160614076,-0.1826291673397163
Nilai Semester 3 - Pemrograman 3,0.5669143547608623,0.30163326647094435
Nilai Semester 3 - Mesin Pembelajaran,0.5284156545151223,-0.4453671904473992
Nilai Semester 3 - Text Mining,0.5243511015624923,-0.34746331935499597
Nilai Semester 3 - Eksplorasi dan Visualisasi Data,0.6333535824075174,0.24137074701917835
Nilai Semester 3 - Pancasila,0.14702536415206152,0.05649297076521759
Nilai Semester 3 - Praktikum Analisa Statistika Terapan,0.7639600591810021,-0.35895550766356826
Nilai Semester 3 - Praktikum Pemrograman 3,0.611616687543915,0.45167312098475054
Nilai Semester 3 - Praktikum Mesin Pembelajaran,0.3608388378256879,-0.22619480661375546
Nilai Semester 3 - Praktikum Text Mining,0.380937625075471,0.05076541390896976
Nilai Semester 3 - Praktikum Eksplorasi dan Visualisasi Data,0.6936050749496377,-0.07667183816859754
Nilai Semester 4  - Data Mining,0.705860966921662,0.4472189728886417
Nilai Semester 4  - Teknologi Web Service,0.44299508298299445,0.08574955273242395
Nilai Semester 4  - Machine Learning Ops,0.4626670711821568,0.32084454203697055
Nilai Semester 4  - Infrastruktur dan Manajemen Big Data,0.6304496251504876,0.10528845088048386
Nilai Semester 4  - Data Warehouse,0.6899368968860027,-0.06828813212318352
Nilai Semester 4  - Praktikum Data Mining,0.5807452102239553,-0.2263043613801159
Nilai Semester 4  - Praktikum Teknologi Web Service,0.7476023015027473,0.12854223529923559
Nilai Semester 4  - Praktikum Machine Learning Ops,0.7177619332088415,0.07229623450276067
Nilai Semester 4  - Praktikum Infrastruktur dan Manajemen Big Data,0.046527385941058444,0.10419502769308218
Nilai Semester 4  - Praktikum Data Warehouse,-0.0,0.0
Nilai Semester 5  - Teknologi dan Tool Big Data,0.5120600029915683,0.6620539580406081
Nilai Semester 5  - Neuro Computing,0.4020667612966932,0.624071005173835
Nilai Semester 5  - Workshop Analitika Data Terapan,0.46956397394287447,-0.09542647011514883
Nilai Semester 5  - Workshop Analisis Sosial Media,0.25830787865265764,0.43496602080597524
Nilai Semester 5  - Ekonometrika Terapan,0.6819386863463255,-0.20922064608008223
Nilai Semester 5  - Teknik Presentasi Data,0.37377966597149354,-0.4262679733856568
Nilai Semester 5  - Technopreneur Sains Data,0.6143701377533403,0.023848956479740325
Nilai Semester 5  - Bahasa Inggris Teknik,0.600146925878742,-0.2719429597819945
Nilai Semester 5  - Bahasa Indonesia,0.453632398117065,0.24477877187671027
Nilai Semester 5  - Praktikum Neuro Computing,0.789693960036929,0.10557356701222581
Nilai Semester 1 - nilai IPS,0.7302766625933443,-0.23247551250205592
Nilai Semester 2 - nilai IPS,0.8944768464725924,0.13343482283172656
Nilai Semester 3 - nilai IPS,0.7943222625616482,-0.10598024944845474
Nilai Semester 4  - nilai IPS,0.8002261396841001,0.42364769864814106
Nilai Semester 5  - nilai IPS,0.8018093727179564,0.30753158247559437
Nilai Semester 1 - ABSENSI,-0.03171488974041687,0.4415150122650015
Nilai Semester 2 - ABSENSI,0.1620134480211819,0.16621013794414663
Nilai Semester 3 - ABSENSI,-0.09969578277320597,0.2183839032779722
Nilai Semester 4  - ABSENSI,-0.17518375252518786,0.17142569705532498
Nilai Semester 5  - ABSENSI,-0.3541548970387555,-0.15410695407358566
